"MpTak_v6.1"	"Name"	"product"	"MPGENES"	"annots"
"Mp1g00410"	""	""	""	"[K11095]: SNRPC; U1 small nuclear ribonucleoprotein C;
[KOG3454]: U1 snRNP-specific protein C; C-term missing; [A];
[PTHR31148:SF2]: U1 SMALL NUCLEAR RIBONUCLEOPROTEIN C;
[PTHR31148]: U1 SMALL NUCLEAR RIBONUCLEOPROTEIN C;
[PF06220]: U1 zinc finger"
"Mp1g00420"	""	""	""	"[K12251]: aguB; N-carbamoylputrescine amidase [EC:3.5.1.53];
[KOG0806]: Carbon-nitrogen hydrolase; [E];
[PTHR43674:SF6]: NITRILASE C965.09-RELATED;
[PTHR43674]: NITRILASE C965.09-RELATED;
[PF00795]: Carbon-nitrogen hydrolase"
"Mp1g00430"	""	""	""	"[K03426]: E3.6.1.22, NUDT12, nudC; NAD+ diphosphatase [EC:3.6.1.22];
[KOG3084]: NADH pyrophosphatase I of the Nudix family of hydrolases; N-term missing; [L];
[PTHR42904:SF6]: PEROXISOMAL NADH PYROPHOSPHATASE NUDT12;
[PTHR42904]: NUDIX HYDROLASE, NUDC SUBFAMILY;
[PF09297]: NADH pyrophosphatase zinc ribbon domain;
[PF00293]: NUDIX domain;
[PF09296]: NADH pyrophosphatase-like rudimentary NUDIX domain"
"Mp1g00440"	""	""	""	"[PTHR47830]: OS11G0534100 PROTEIN;
[PTHR47830:SF1]: OS11G0534100 PROTEIN;
[PF04819]: Family of unknown function (DUF716)"
"Mp1g00450"	""	""	""	"[PF01657]: Salt stress response/antifungal"
"Mp1g00480"	"MpFLV3"	"flavodiiron proteins"	"[MpFLV3]: flavodiiron proteins"	"[PTHR32145]: DIFLAVIN FLAVOPROTEIN A 2-RELATED;
[PTHR32145:SF30]: FLAVODOXIN/NITRIC OXIDE SYNTHASE;
[PF01613]: Flavin reductase like domain;
[PF00753]: Metallo-beta-lactamase superfamily"
"Mp1g00490"	"MpCYP710A16"	"Cytochrome P450, Secondary metabolism enzyme, sterol biosynthesis"	"[MpCYP710A16]: Cytochrome P450, Secondary metabolism enzyme, sterol biosynthesis"	"[K09832]: CYP710A; sterol 22-desaturase [EC:1.14.19.41];
[KOG0157]: Cytochrome P450 CYP4/CYP19/CYP26 subfamilies; [QI];
[PTHR24286:SF228]: CYTOCHROME P450 61;
[PTHR24286]: CYTOCHROME P450 26;
[PF00067]: Cytochrome P450"
"Mp1g00510"	"MpLSD"	"transcription factor, LSD"	"[MpLSD]: transcription factor, LSD"	"[PTHR31747]: PROTEIN LSD1;
[PTHR31747:SF3]: PROTEIN LSD1;
[PF06943]: LSD1 zinc finger"
"Mp1g00530"	"MpC3H1"	"transcription factor, C3H"	"[MpC3H1]: transcription factor, C3H"	"[K12872]: RBM22, SLT11; pre-mRNA-splicing factor RBM22/SLT11;
[KOG0153]: Predicted RNA-binding protein (RRM superfamily); [R];
[PTHR14089:SF16]: U2 AUXILIARY FACTOR SMALL SUBUNIT-RELATED;
[PTHR14089]: PRE-MRNA-SPLICING FACTOR RBM22;
[PF00076]: RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain);
[PF16131]: Torus domain"
"Mp1g00540"	""	""	""	"[PTHR33875]: OS09G0542200 PROTEIN;
[PF13462]: Thioredoxin"
"Mp1g00550"	""	""	""	"[PTHR31906:SF33];
[PTHR31906];
[PF04755]: PAP_fibrillin"
"Mp1g00560"	""	""	""	"[KOG3668]: Phosphatidylinositol transfer protein; [IT];
[PTHR10658]: PHOSPHATIDYLINOSITOL TRANSFER PROTEIN;
[PTHR10658:SF11]: PITP-LESS RDGB-LIKE PROTEIN-RELATED;
[PF02121]: Phosphatidylinositol transfer protein"
"Mp1g00570"	""	""	""	"[PTHR36987]: NADH DEHYDROGENASE [UBIQUINONE] 1 BETA SUBCOMPLEX SUBUNIT 2-LIKE"
"Mp1g00600"	""	""	""	"[PTHR31081]: UREIDE PERMEASE 1-RELATED-RELATED;
[PF07168]: Ureide permease"
"Mp1g00620"	""	""	""	"[K24193]: STP; MFS transporter, SP family, sugar:H+ symporter;
[KOG0254]: Predicted transporter (major facilitator superfamily); [R];
[PTHR23500]: SOLUTE CARRIER FAMILY 2, FACILITATED GLUCOSE TRANSPORTER;
[PTHR23500:SF574]: SUGAR TRANSPORT PROTEIN 1;
[PF00083]: Sugar (and other) transporter"
"Mp1g00630"	""	""	""	"[KOG3201]: Uncharacterized conserved protein; C-term missing; [S];
[PTHR14614]: HEPATOCELLULAR CARCINOMA-ASSOCIATED ANTIGEN;
[PTHR14614:SF97]: PROTEIN-LYSINE N-METHYLTRANSFERASE EEF2KMT;
[PF10294]: Lysine methyltransferase"
"Mp1g00640"	""	""	""	"[K00555]: TRMT1, trm1; tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1.1.216];
[KOG1253]: tRNA methyltransferase; [J];
[PTHR10631:SF12]: TRNA (GUANINE(26)-N(2))-DIMETHYLTRANSFERASE 1-RELATED;
[PTHR10631]: N 2 ,N 2 -DIMETHYLGUANOSINE TRNA METHYLTRANSFERASE;
[PF02005]: N2,N2-dimethylguanosine tRNA methyltransferase"
"Mp1g00650"	""	""	""	"[K03671]: trxA; thioredoxin 1;
[KOG0907]: Thioredoxin; [O];
[PTHR47571]: THIOREDOXIN-LIKE 3-3;
[PF00085]: Thioredoxin"
"Mp1g00660"	""	""	""	"[K10409]: DNAI1; dynein intermediate chain 1, axonemal;
[PTHR12442]: DYNEIN INTERMEDIATE CHAIN"
"Mp1g00680"	""	""	""	"[PTHR31407];
[PTHR31407:SF7]: PSBP DOMAIN-CONTAINING PROTEIN 5, CHLOROPLASTIC;
[PF01789]: PsbP"
"Mp1g00690"	"MpLIME"	"lipid droplets associated protein"	"[MpLIME]: lipid droplets associated protein"	"[KOG1270]: Methyltransferases; N-term missing; C-term missing; [H];
[PTHR43832:SF1]: S-ADENOSYL-L-METHIONINE-DEPENDENT METHYLTRANSFERASES SUPERFAMILY PROTEIN;
[PTHR43832];
[PF02353]: Mycolic acid cyclopropane synthetase"
"Mp1g00700"	""	""	""	"[K12259]: SMOX, PAO5; spermine oxidase [EC:1.5.3.16 1.5.3.-];
[KOG0685]: Flavin-containing amine oxidase; [H];
[PTHR10742]: FLAVIN MONOAMINE OXIDASE;
[PTHR10742:SF374]: POLYAMINE OXIDASE 5-RELATED;
[PF01593]: Flavin containing amine oxidoreductase"
"Mp1g00710"	"MpCEN1"	"centrin"	"[MpCEN1]: centrin"	"[K16465]: CETN1; centrin-1;
[KOG0028]: Ca2+-binding protein (centrin/caltractin), EF-Hand superfamily protein; [ZD];
[PTHR23050]: CALCIUM BINDING PROTEIN;
[PTHR23050:SF350]: CENTRIN-4;
[PF13499]: EF-hand domain pair"
"Mp1g00720"	""	""	""	"[PTHR35506]: OS02G0135600 PROTEIN"
"Mp1g00730"	""	""	""	"[K17867]: DPH4, DNAJC24; diphthamide biosynthesis protein 4;
[KOG2923]: Uncharacterized conserved protein; C-term missing; [S];
[PTHR21454]: DPH3 HOMOLOG-RELATED;
[PTHR21454:SF31]: DIPHTHAMIDE BIOSYNTHESIS PROTEIN 4;
[PF00226]: DnaJ domain;
[PF05207]: CSL zinc finger"
"Mp1g00740"	""	""	""	"[K02635]: petB; cytochrome b6;
[KOG4663]: Cytochrome b; N-term missing; C-term missing; [C];
[PTHR19271:SF20];
[PTHR19271]: CYTOCHROME B;
[PF00033]: Cytochrome b/b6/petB"
"Mp1g00750"	""	""	""	"[K02637]: petD; cytochrome b6-f complex subunit 4;
[KOG4663]: Cytochrome b; C-term missing; [C];
[PTHR19271]: CYTOCHROME B;
[PTHR19271:SF22]: CYTOCHROME B6/F COMPLEX, SUBUNIT IV-RELATED;
[PF00032]: Cytochrome b(C-terminal)/b6/petD"
"Mp1g00770"	""	""	""	"[K11447]: UTX, KDM6A; lysine-specific demethylase 6A [EC:1.14.11.68]"
"Mp1g00810"	""	""	""	"[PTHR36747]: HYDROXYPROLINE-RICH GLYCOPROTEIN FAMILY PROTEIN"
"Mp1g00820"	""	""	""	"[K03267]: ERF3, GSPT; peptide chain release factor subunit 3;
[KOG0459]: Polypeptide release factor 3; [J];
[PTHR23115]: TRANSLATION FACTOR;
[PTHR23115:SF273]: BNAA06G12300D PROTEIN;
[PF03144]: Elongation factor Tu domain 2;
[PF03143]: Elongation factor Tu C-terminal domain;
[PF00009]: Elongation factor Tu GTP binding domain"
"Mp1g00830"	""	""	""	"[K12670]: WBP1; oligosaccharyltransferase complex subunit beta;
[KOG2754]: Oligosaccharyltransferase, beta subunit; [O];
[PTHR10830]: DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE--PROTEIN GLYCOSYLTRANSFERASE 48 KDA SUBUNIT;
[PTHR10830:SF2]: DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE--PROTEIN GLYCOSYLTRANSFERASE 48 KDA SUBUNIT;
[PF03345]: Oligosaccharyltransferase 48 kDa subunit beta"
"Mp1g00840"	""	""	""	"[KOG0211]: Protein phosphatase 2A regulatory subunit A and related proteins; [T];
[PTHR32059]: RAB11-BINDING PROTEIN RELCH"
"Mp1g00850"	""	""	""	"[K15909]: SHIP2, INPPL1; phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 2 [EC:3.1.3.86];
[KOG0565]: Inositol polyphosphate 5-phosphatase and related proteins; [U];
[KOG1028]: Ca2+-dependent phospholipid-binding protein Synaptotagmin, required for synaptic vesicle and secretory granule exocytosis; N-term missing; C-term missing; [TU];
[PTHR11200]: INOSITOL 5-PHOSPHATASE;
[PF00168]: C2 domain;
[PF03372]: Endonuclease/Exonuclease/phosphatase family"
"Mp1g00880"	""	""	""	"[PTHR12136]: ENHANCED DISEASE RESISTANCE-RELATED;
[PTHR12136:SF47]: ENHANCED DISEASE RESISTANCE PROTEIN (DUF1336);
[PF07059]: Protein of unknown function (DUF1336);
[PF01852]: START domain"
"Mp1g00910"	""	""	""	"[PTHR36776]: EXPRESSED PROTEIN"
"Mp1g00920"	""	""	""	"[K02183]: CALM; calmodulin;
[KOG0027]: Calmodulin and related proteins (EF-Hand superfamily); [T];
[PTHR23050]: CALCIUM BINDING PROTEIN;
[PTHR23050:SF438]: CALMODULIN-7;
[PF13499]: EF-hand domain pair"
"Mp1g00930"	""	""	""	"[K02257]: COX10, ctaB, cyoE; heme o synthase [EC:2.5.1.141];
[KOG1380]: Heme A farnesyltransferase; N-term missing; [H];
[PTHR43448]: PROTOHEME IX FARNESYLTRANSFERASE, MITOCHONDRIAL;
[PTHR43448:SF2]: PROTOHEME IX FARNESYLTRANSFERASE, MITOCHONDRIAL;
[PF01040]: UbiA prenyltransferase family"
"Mp1g00940"	""	""	""	"[KOG2030]: Predicted RNA-binding protein; [R];
[PTHR15239];
[PTHR15239:SF6]: NUCLEAR EXPORT MEDIATOR FACTOR NEMF;
[PF05670]: NFACT protein RNA binding domain;
[PF05833]: Fibronectin-binding protein A N-terminus (FbpA);
[PF00098]: Zinc knuckle;
[PF11923]: NFACT protein C-terminal domain"
"Mp1g00950"	""	""	""	"[K08794]: CAMK1; calcium/calmodulin-dependent protein kinase I [EC:2.7.11.17];
[KOG0580]: Serine/threonine protein kinase; [D];
[PTHR44167]: OVARIAN-SPECIFIC SERINE/THREONINE-PROTEIN KINASE LOK-RELATED;
[PF00069]: Protein kinase domain"
"Mp1g00960"	"MpPEX4"	"PEX4, E2 ligase"	"[MpPEX4]: PEX4, E2 ligase"	"[K10689]: PEX4; peroxin-4 [EC:2.3.2.23];
[KOG0417]: Ubiquitin-protein ligase; [O];
[PTHR24068]: UBIQUITIN-CONJUGATING ENZYME E2;
[PTHR24068:SF383]: BNAA09G04490D PROTEIN;
[PF00179]: Ubiquitin-conjugating enzyme"
"Mp1g00970"	""	""	""	"[PTHR31676]: T31J12.3 PROTEIN-RELATED;
[PTHR31676:SF106];
[PF04398]: Protein of unknown function, DUF538"
"Mp1g00980"	""	""	""	"[PF00280]: Potato inhibitor I family"
"Mp1g00990"	""	""	""	"[PTHR26312:SF78]: OSJNBA0004N05.2 PROTEIN;
[PTHR26312]: TETRATRICOPEPTIDE REPEAT PROTEIN 5"
"Mp1g01000"	"MpCYP716AA1"	"Cytochrome P450, Secondary metabolism enzyme"	"[MpCYP716AA1]: Cytochrome P450, Secondary metabolism enzyme"	"[K20667]: CYP716A; beta-amyrin 28-monooxygenase [EC:1.14.14.126];
[KOG0157]: Cytochrome P450 CYP4/CYP19/CYP26 subfamilies; [QI];
[PTHR24286:SF209]: BETA-AMYRIN 28-OXIDASE-LIKE ISOFORM X1;
[PTHR24286]: CYTOCHROME P450 26;
[PF00067]: Cytochrome P450"
"Mp1g01010"	"MpHD9|MpPINTOX"	"transcription factor, HD, homeodomain protein"	"[MpHD9|MpPINTOX]: transcription factor, HD, homeodomain protein"	"[PTHR15467]: ZINC-FINGERS AND HOMEOBOXES RELATED;
[PTHR15467:SF9]: HOMEOBOX PROTEIN 8"
"Mp1g01030"	""	""	""	"[PTHR35512]: OS11G0550900 PROTEIN;
[PF02416]: mttA/Hcf106 family"
"Mp1g01040"	""	""	""	"[K05387]: GRIP; glutamate receptor, ionotropic, plant;
[KOG1052]: Glutamate-gated kainate-type ion channel receptor subunit GluR5 and related subunits; [PET];
[PTHR18966:SF487]: GLUTAMATE RECEPTOR 3.4;
[PTHR18966]: IONOTROPIC GLUTAMATE RECEPTOR;
[PF00497]: Bacterial extracellular solute-binding proteins, family 3;
[PF01094]: Receptor family ligand binding region;
[PF00060]: Ligand-gated ion channel"
"Mp1g01060"	""	""	""	"[KOG4265]: Predicted E3 ubiquitin ligase; N-term missing; [O];
[PF13920]: Zinc finger, C3HC4 type (RING finger)"
"Mp1g01070"	""	""	""	"[PTHR46502]: C2 DOMAIN-CONTAINING;
[PF00168]: C2 domain"
"Mp1g01080"	""	""	""	"[K20177]: VPS3, TGFBRAP1; vacuolar protein sorting-associated protein 3;
[KOG2063]: Vacuolar assembly/sorting proteins VPS39/VAM6/VPS3; [U];
[PTHR12894]: CNH DOMAIN CONTAINING;
[PTHR12894:SF27]: VAM6/VPS39-LIKE PROTEIN;
[PF10367]: Vacuolar sorting protein 39 domain 2;
[PF10366]: Vacuolar sorting protein 39 domain 1;
[PF00637]: Region in Clathrin and VPS;
[PF00780]: CNH domain"
"Mp1g01090"	""	""	""	"[PTHR35313]: NO EXINE FORMATION 1"
"Mp1g01100"	""	""	""	"[K10735]: GINS4, SLD5; GINS complex subunit 4;
[KOG3176]: Predicted alpha-helical protein, potentially involved in replication/repair; [L];
[PTHR21206]: SLD5 PROTEIN;
[PF16922]: DNA replication complex GINS protein SLD5 C-terminus"
"Mp1g01110"	"MpBHLH33"	"transcription factor, bHLH"	"[MpBHLH33]: transcription factor, bHLH"	"[PTHR16223:SF9]: TRANSCRIPTION FACTOR BHLH83-RELATED;
[PTHR16223]: TRANSCRIPTION FACTOR BHLH83-RELATED;
[PF00010]: Helix-loop-helix DNA-binding domain"
"Mp1g01135"	""	""	""	"[PTHR35312:SF1]: OS07G0641800 PROTEIN;
[PTHR35312]: OS07G0641800 PROTEIN"
"Mp1g01140"	""	""	""	"[K02355]: fusA, GFM, EFG; elongation factor G;
[KOG0465]: Mitochondrial elongation factor; [J];
[PTHR43636]: ELONGATION FACTOR G, MITOCHONDRIAL;
[PTHR43636:SF5]: ELONGATION FACTOR G, MITOCHONDRIAL;
[PF00009]: Elongation factor Tu GTP binding domain;
[PF14492]: Elongation Factor G, domain III;
[PF00679]: Elongation factor G C-terminus;
[PF03764]: Elongation factor G, domain IV;
[PF03144]: Elongation factor Tu domain 2"
"Mp1g01160"	"MpBHLH34"	"transcription factor, bHLH"	"[MpBHLH34]: transcription factor, bHLH"	"[PTHR45959]: BHLH TRANSCRIPTION FACTOR;
[PTHR45959:SF2]: BHLH TRANSCRIPTION FACTOR;
[PF00010]: Helix-loop-helix DNA-binding domain"
"Mp1g01170"	"MpLEA-like2"	"Late-embryogenesis abundant protein"	"[MpLEA-like2]: Late-embryogenesis abundant protein"	"[KOG4744]: Uncharacterized conserved protein; [S];
[KOG2886]: Uncharacterized conserved protein; [S];
[PTHR47652:SF3]: LATE EMBRYOGENESIS ABUNDANT PROTEIN (LEA) FAMILY PROTEIN;
[PTHR47652];
[PF13664]: Domain of unknown function (DUF4149)"
"Mp1g01200"	""	""	""	"[K14326]: UPF1, RENT1; regulator of nonsense transcripts 1 [EC:3.6.4.-];
[KOG1802]: RNA helicase nonsense mRNA reducing factor (pNORF1); [A];
[PTHR10887]: DNA2/NAM7 HELICASE FAMILY;
[PTHR10887:SF486]: REGULATOR OF NONSENSE TRANSCRIPTS 1-LIKE PROTEIN;
[PF09416]: RNA helicase (UPF2 interacting domain);
[PF13087]: AAA domain;
[PF13086]: AAA domain;
[PF18141]: Domain of unknown function (DUF5599);
[PF04851]: Type III restriction enzyme, res subunit"
"Mp1g01210"	""	""	""	"[K11517]: HAO; (S)-2-hydroxy-acid oxidase [EC:1.1.3.15];
[KOG0538]: Glycolate oxidase; [C];
[PTHR10578:SF114]: (S)-2-HYDROXY-ACID OXIDASE GLO1;
[PTHR10578]: S -2-HYDROXY-ACID OXIDASE-RELATED;
[PF01070]: FMN-dependent dehydrogenase"
"Mp1g01240"	""	""	""	"[KOG1618]: Predicted phosphatase; [R];
[PTHR14269:SF41]: HYDROLASE FAMILY PROTEIN / HAD-SUPERFAMILY PROTEIN;
[PTHR14269]: CDP-DIACYLGLYCEROL--GLYCEROL-3-PHOSPHATE 3-PHOSPHATIDYLTRANSFERASE-RELATED;
[PF13242]: HAD-hyrolase-like;
[PF13344]: Haloacid dehalogenase-like hydrolase"
"Mp1g01250"	""	""	""	"[K14782]: AATF, BFR2; protein AATF/BFR2;
[KOG2773]: Apoptosis antagonizing transcription factor/protein transport protein; [KU];
[PTHR15565]: AATF PROTEIN  APOPTOSIS ANTAGONIZING TRANSCRIPTION FACTOR;
[PF13339]: Apoptosis antagonizing transcription factor;
[PF08164]: Apoptosis-antagonizing transcription factor, C-terminal"
"Mp1g01260"	""	""	""	"[K11550]: SPBC25, SPC25; kinetochore protein Spc25, animal type;
[KOG4657]: Uncharacterized conserved protein; N-term missing; [S];
[PTHR14281]: KINETOCHORE PROTEIN SPC25-RELATED;
[PTHR14281:SF0]: KINETOCHORE PROTEIN SPC25;
[PF08234]: Chromosome segregation protein Spc25"
