gene_symbol	full_name	synonym	product	description	GeneID/Location	reference	PMID	DOI	status
Mp3R-MYB7	Mp3R-MYB7		transcription factor, MYB	X-linked	Mapoly0210s0005.1; MpUg00230	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
Mp3R-MYB8	Mp3R-MYB8		transcription factor, MYB	X-linked	Mapoly0240s0002.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
Mp3R-MYB9	Mp3R-MYB9		transcription factor, MYB		Mapoly0330s0001.1; Mp4g04760.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
Mp4R-MYB1	Mp4R-MYB1		transcription factor, MYB		Mapoly0061s0069.1; Mp1g24520.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpAAP1	AMINO ACID PERMEASE 1		amino acid transporter	Proton-coupled amino acid symporter	Mapoly0047s0067.1; Mp6g14130.1	Bowman et al. Cell. 2017 171(2):287-304		doi:10.1016/j.cell.2017.09.030	Published
MpAAP2	AMINO ACID PERMEASE 2		amino acid transporter	Proton-coupled amino acid symporter	Mapoly0130s0012.1; Mp2g02040.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpAAP3	AMINO ACID PERMEASE 3		amino acid transporter	Proton-coupled amino acid symporter	Mapoly0170s0014.1; Mp6g16630.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpAAP4	AMINO ACID PERMEASE 4		amino acid transporter	proton-coupled amino acid symporter	Mapoly0134s0048.1; Mpzg00300.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpAAP5	AMINO ACID PERMEASE 5		amino acid transporter	proton-coupled amino acid symporter	Mapoly0004s0095.1; Mp3g15770.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpABA1	MpABA1		zeaxanthin epoxidase		Mapoly0028s0084.1; Mp2g00670.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpABA4	MpABA4		neoxanthin synthase		Mapoly0134s0007.1; Mp5g19490.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpABCB1	ATP-BINDING CASSETTE B 1		Auxin transport	Genome paper MpABCB1: Mapoly0075s0053 MpABCB2: Mapoly0075s0052 MpABCB3: Mapoly0037s0014 MpABCB4: Mapoly0182s0009 MpABCB5: Mapoly0115s0036	Mapoly0075s0053; Mp2g02920	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpABCB2	ATP-BINDING CASSETTE B 2		Auxin transport	Genome paper MpABCB1: Mapoly0075s0053 MpABCB2: Mapoly0075s0052 MpABCB3: Mapoly0037s0014 MpABCB4: Mapoly0182s0009 MpABCB5: Mapoly0115s0036	Mapoly0075s0052; Mp2g02910	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpABCB3	ATP-BINDING CASSETTE B 3		Auxin transport	Genome paper MpABCB1: Mapoly0075s0053 MpABCB2: Mapoly0075s0052 MpABCB3: Mapoly0037s0014 MpABCB4: Mapoly0182s0009 MpABCB5: Mapoly0115s0036	Mapoly0037s0014; Mp3g11830	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpABCB4	ATP-BINDING CASSETTE B 4		Auxin transport	Genome paper MpABCB1: Mapoly0075s0053 MpABCB2: Mapoly0075s0052 MpABCB3: Mapoly0037s0014 MpABCB4: Mapoly0182s0009 MpABCB5: Mapoly0115s0036	Mapoly0182s0009; Mp5g17400	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpABCB5	ATP-BINDING CASSETTE B 5		Auxin transport	Genome paper MpABCB1: Mapoly0075s0053 MpABCB2: Mapoly0075s0052 MpABCB3: Mapoly0037s0014 MpABCB4: Mapoly0182s0009 MpABCB5: Mapoly0115s0036	Mapoly0115s0036; Mp4g07450	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpABI1	ABSCISIC ACID INSENSITIVE1	MpABI1A	Type 2C protein phosphatase, group A	The MpABI1 cDNA encoded a 568-amino acid protein consisting of the carboxy-terminal protein phosphatase 2C (PP2C) domain and a novel amino-terminal regulatory domain. The MpABI1 transcript was detected in the gametophyte, and its expression level was increased by exogenous ABA treatment in the gemma, whose growth was strongly inhibited by Abscisic acid (ABA).	MapolyY_A0044.1; MpVg00730.1	Tougane et al. Plant Physiol. 2010 152:1529-43. PMID: 20097789	PMID: 20097789		Published
MpABI1A	MpABI1A	MpABI1	Type 2C protein phosphatase, group A	Same as MpABI1 (GQ504039.1)	MapolyY_A0044.1; MpVg00730.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpABI1B	MpABI1B		Type 2C protein phosphatase, group A		Mapoly0017s0024.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpABI3A	MpABI3A	MpB3-6	B3-domain transcription factor abscisic acid-insensitive 3		Mapoly0086s0035.1; Mp5g08310.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpABI5A	MpABI5A	MpBZIP11	bZIP transcription factor		Mapoly0069s0009.1; Mp2g23600.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpABI5B	MpABI5B	MpBZIP12	bZIP transcription factor		Mapoly0072s0050.1; Mp2g22820.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpACS	1-AMINOCYCLOPROPANE-1-CARBOXYLATE SYNTHASE 1	MpACS1	1-aminocyclopropane-1-carboxylate synthase 1, ethylene related, possible ortholog to AtACS	Genome paper Mapoly0034s0060	Mapoly0034s0060; Mp6g04560	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15; Li et al., 2020 Nature Plants	28985561; 33106638	10.1016/j.cell.2017.09.030; 10.1038/s41477-020-00784-y	Published
MpACS-RELATE	1-AMINOCYCLOPROPANE-1-CARBOXYLATE SYNTHASE 2	MpACS2	1-aminocyclopropane-1-carboxylate synthase 2, ethylene related	Genome paper Mapoly0001s0058	Mapoly0001s0058; Mp1g17180	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15; Li et al., 2020 Nature Plants	28985561; 33106638	10.1016/j.cell.2017.09.030; 10.1038/s41477-020-00784-y	Published
MpAGC1	AGC KINASE 1		AGC VIIIa kinase AGC1			Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpAGC2	AGC KINASE 2		AGC VIIIb kinase AGC2			Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpALFIN1	MpAlfin1		transcription factor, Alfin1-like		Mapoly0029s0079.1; Mp1g01670.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpALFIN2	MpAlfin2		transcription factor, Alfin1-like		Mapoly0065s0031.1; Mp1g23460.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpAMT1.2	AMMONIUM TRANSPORTER 1.2		ammonium transporter	Electrogenic ammonium uptake transporter in the plasma membrane	Mapoly0060s0090; Mp6g08310	Guo et al. Plant Cell Physiol. 59(5):997-1005 (2018); McDonald and Ward, Front Plant Sci 7:352 (2016); Bowman et al., Cell 171(2):287-304.e15		10.1093/pcp/pcy038; 10.3389/fpls.2016.00352; 10.1016/j.cell.2017.09.030	Published
MpAMT1.3	AMMONIUM TRANSPORTER 1.3		ammonium transporter	Electrogenic ammonium uptake transporter in the plasma membrane	Mapoly0081s0032; Mp8g05310	McDonald and Ward, Front Plant Sci 7:352 (2016); Bowman et al., Cell 171(2):287-304.e15		10.3389/fpls.2016.00352; 10.1016/j.cell.2017.09.030	Published
MpAMT1.4	AMMONIUM TRANSPORTER 1.4		ammonium transporter	Electrogenic ammonium uptake transporter in the plasma membrane	Mapoly0081s0029; Mp8g05280	McDonald and Ward, Front Plant Sci 7:352 (2016); Bowman et al., Cell 171(2):287-304.e15		10.3389/fpls.2016.00352; 10.1016/j.cell.2017.09.030	Published
MpAMT1.5	AMMONIUM TRANSPORTER 1.5		ammonium transporter	Electrogenic ammonium uptake transporter in the plasma membrane	Mapoly0081s0031; Mp8g05300	McDonald and Ward, Front Plant Sci 7:352 (2016); Bowman et al., Cell 171(2):287-304.e15		10.3389/fpls.2016.00352; 10.1016/j.cell.2017.09.030	Published
MpAMT1.6	AMMONIUM TRANSPORTER 1.6		ammonium transporter		Mapoly0081s0034; Mp8g05330	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT1.7	AMMONIUM TRANSPORTER 1.7		ammonium transporter		Mapoly0077s0030; Mp8g00390	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT1.8	AMMONIUM TRANSPORTER 1.8		ammonium transporter		Mapoly0077s0028; Mp8g00380	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT1.9	AMMONIUM TRANSPORTER 1.9		ammonium transporter		Mapoly0077s0031; Mp8g00420	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT2.1	AMMONIUM TRANSPORTER 2.1		ammonium transporter		Mapoly0028s0091; Mp2g00600	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT2.10	AMMONIUM TRANSPORTER 2.10		ammonium transporter		Mapoly0192s0013; Mp8g18470	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT2.2	AMMONIUM TRANSPORTER 2.2		ammonium transporter		Mapoly0080s0061; Mp4g02370	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT2.3	AMMONIUM TRANSPORTER 2.3		ammonium transporter		Mapoly0174s0008; Mp4g12460	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT2.4	AMMONIUM TRANSPORTER 2.4		ammonium transporter		Mapoly0192s0010; Mp8g18510	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT2.5	AMMONIUM TRANSPORTER 2.5		ammonium transporter		Mapoly0192s0011; Mp8g18500	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT2.6	AMMONIUM TRANSPORTER 2.6		ammonium transporter		Mapoly0192s0012; Mp8g18480	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT2.7	AMMONIUM TRANSPORTER 2.7		ammonium transporter		Mapoly0192s0015; Mp8g18450	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT2.8	AMMONIUM TRANSPORTER 2.8		ammonium transporter		Mapoly0213s0002; Mp8g18430	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAMT2.9	AMMONIUM TRANSPORTER 2.9		ammonium transporter		Mapoly0213s0001; Mp8g18440	Bowman et al., Cell 171(2):287-304.e15		10.1016/j.cell.2017.09.030	Published
MpAO	MpAO		abscisic aldehyde oxidase		Mapoly0013s0153.1; Mp8g06370.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpAP2B3-1	MpAP2B3-1, MpRAV	MpRAV	transcription factor, AP2-B3		Mapoly0072s0102.1; Mp2g22250.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpAP2B3-2	MpAP2B3-2, MpREM3		transcription factor, AP2-B3		Mapoly0093s0032.1; Mp5g11100.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpAP2L1	MpAP2L1		transcription factor, AP2/ERF		Mapoly0008s0071.1; Mp8g11450.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpAP2L2	MpAP2L2		transcription factor, AP2/ERF		Mapoly0009s0013.1; Mp7g13270.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpAP2L3	MpAP2L3		transcription factor, AP2/ERF		Mapoly0048s0045.1; Mp5g10280.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpAP2L4	MpAP2L4		transcription factor, AP2/ERF		Mapoly0144s0031.1; Mp6g16760.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpAP2L5	MpAP2L5		transcription factor, AP2/ERF		Mapoly0144s0032.1; Mp6g16750.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpAP2L6	MpAP2L6		transcription factor, AP2/ERF		Mapoly0144s0033.1; Mp6g16820.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpAP2L7	MpAP2L7		transcription factor, AP2/ERF		Mapoly1480s0001.1; Mp6g16770.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARA6	Arabidopsis thaliana gene 6		RAB GTPase	genome paper: Mapoly0077s0027.1	Mapoly0077s0027.1; Mp8g00450.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARF1	AUXIN RESPONSE FACTOR1		Transcription factor, similarity to Arabidopsis activator ARFs.	The M. polymorpha genome encodes three ARFs (MpARF1, MpARF2, and MpARF3). The three MpARFs have a structure common to typical ARFs, containing a B3-like DNA binding domain (DBD) and a protein-protein interaction motif, called domains III and IV (Figs 1A and S2). Between the DBD and domain III, MpARF1 harbors a glutamine-rich region, which is known as a feature of activator ARF members. Phylogenetic analysis showed that MpARF1 belonged to the clade A, which represents activator ARF proteins such as ARF5/MONOPTEROS (MP) of Arabidopsis.	Mapoly0019s0045.1; Mp1g12750.1	Kato et al., PLOS Genet. 11, e1005084 (2015) PMID: 26020919; Flores-Sandval et al., PLOS Genet. 11, e1005207 (2015). PMID: 26020649	PMID: 26020919; PMID: 26020649		Published
MpARF2	AUXIN RESPONSE FACTOR2		Transcription factor, similarity to Arabidopsis repressor ARFs.	MpARF2 resided in clade B, and was shown to function as transcriptional repressor.	Mapoly0011s0167.1; Mp4g11820.1	Kato et al., PLOS Genet. 11, e1005084 (2015) PMID: 26020919; Flores-Sandval et al., PLOS Genet. 11, e1005207 (2015). PMID: 26020649	PMID: 26020919; PMID: 26020649		Published
MpARF3	AUXIN RESPONSE FACTOR3		Transcription factor, similarity to Arabidopsis repressor ARFs.	MpARF3 has a relatively longer DBD, and its domains III and IV show lower similarity to ARFs in the clades A and B. MpARF3 mRNA contains the possible target sequence of microRNA160. These features are common with Arabidopsis ARF10 and ARF16, which possibly function as repressors. Phylogenetic analysis supported the placement of MpARF3 in the clade C including Arabidopsis ARF10, ARF16, and ARF17.	Mapoly0043s0098.1; Mp1g07070.1	Kato et al., PLOS Genet. 11, e1005084 (2015) PMID: 26020919; Flores-Sandval et al., PLOS Genet. 11, e1005207 (2015). PMID: 26020649	PMID: 26020919; PMID: 26020649		Published
MpARFA1	ADP-ribosylation factor A1		SAR/ARF GTPase	genome paper: Mapoly0003s0313.1	Mapoly0003s0313.1; Mp7g13050.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARFA2	ADP-ribosylation factor A2		SAR/ARF GTPase	genome paper: Mapoly0004s0279.1	Mapoly0004s0279.1; Mp3g13920.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARFA3	ADP-ribosylation factor A3		SAR/ARF GTPase	genome paper: Mapoly0023s0085.1	Mapoly0023s0085.1; Mp2g11170.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARFB1	ADP-ribosylation factor B1		SAR/ARF GTPase	genome paper: Mapoly0013s0061.1	Mapoly0013s0061.1; Mp8g07320.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARFB2	ADP-ribosylation factor B2		SAR/ARF GTPase	genome paper: Mapoly0003s0186.1	Mapoly0003s0186.1; Mp7g11740.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARFC1	ADP-ribosylation factor C1		SAR/ARF GTPase	genome paper: Mapoly0083s0064.1	Mapoly0083s0064.1; Mp8g12560.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARFC2	ADP-ribosylation factor C2		SAR/ARF GTPase	genome paper: Mapoly0013s0177.1	Mapoly0013s0177.1; Mp8g06130.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARFC3	ADP-ribosylation factor C3		SAR/ARF GTPase	genome paper: Mapoly0071s0114.1	Mapoly0071s0114.1; Mp5g14970.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARFD1	ADP-ribosylation factor D1		SAR/ARF GTPase	genome paper: Mapoly0042s0078.1	Mapoly0042s0078.1; Mp2g14560.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARFD2	ADP-ribosylation factor D2		SAR/ARF GTPase	genome paper: Mapoly0044s0050.1	Mapoly0044s0050.1; Mp4g04230.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARFD3	ADP-ribosylation factor D3		SAR/ARF GTPase	genome paper: Mapoly0044s0052.1	Mapoly0044s0052.1; Mp4g04210.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARFD4	ADP-ribosylation factor D4		SAR/ARF GTPase	genome paper: Mapoly0105s0044.1	Mapoly0105s0044.1; Mp3g08730.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARFLA	ADP-ribosylation factor like A		SAR/ARF GTPase	genome paper: Mapoly0129s0042.1	Mapoly0129s0042.1; Mp2g10180.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARFLB	ADP-ribosylation factor like B		SAR/ARF GTPase	genome paper: Mapoly0024s0084.1	Mapoly0024s0084.1; Mp3g23070.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARFLC	ADP-ribosylation factor like C		SAR/ARF GTPase	genome paper: Mapoly0224s0005.1	Mapoly0224s0005.1; Mp3g24610.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARID-HMGBOX	MpARID-HMGbox		transcription factor, ARID-HMGbox		Mapoly0043s0128.1; Mp1g07350.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARID1	MpARID1		transcription factor, ARID		Mapoly0013s0062.1; Mp8g07310.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARID2	MpARID2		transcription factor, ARID		Mapoly0030s0125.1; Mp8g17910.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARID3	MpARID3		transcription factor, ARID		Mapoly0062s0083.1; Mp7g04420.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpARID4	MpARID4		transcription factor, ARID		Mapoly0094s0004.1; Mp2g17360.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
MpASLBD1	MpASLBD1		transcription factor, ASL/LBD		Mapoly0004s0047.1; Mp3g16240.1	Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15	28985561	10.1016/j.cell.2017.09.030	Published
