"Tag"	"No."	"Gene"	"Name"	"GeneName"	"annots"
"Mpcki1_Veg.Up"	17	"Mp1g15130"	"MpPR5a"	"Mp1g15130 [MpPR5a]"	"[PTHR31048]: OS03G0233200 PROTEIN;
[PTHR31048:SF129]: PATHOGENESIS-RELATED THAUMATIN SUPERFAMILY PROTEIN;
[PF00314]: Thaumatin family"
"Mpcki1_Veg.Up"	18	"Mp1g15660"	"MpIDDL2"	"Mp1g15660 [MpIDDL2]"	"[KOG3608]: Zn finger proteins; N-term missing; C-term missing; [R];
[PTHR10593:SF154]: OS08G0467100 PROTEIN;
[PTHR10593]: SERINE/THREONINE-PROTEIN KINASE RIO"
"Mpcki1_Veg.Up"	19	"Mp1g17070"	""	""	"[PTHR31970];
[PF16983]: Molybdate transporter of MFS superfamily"
"Mpcki1_Veg.Up"	20	"Mp1g17415"	""	""	"[K01053]: gnl, RGN; gluconolactonase [EC:3.1.1.17];
[KOG4499]: Ca2+-binding protein Regucalcin/SMP30; N-term missing; [PT];
[PTHR47572:SF3]: GLUCONOLACTONASE;
[PTHR47572]: LIPOPROTEIN-RELATED;
[PF08450]: SMP-30/Gluconolactonase/LRE-like region"
"Mpcki1_Veg.Up"	21	"Mp1g17600"	""	""	"[PTHR31052]: COBRA-LIKE PROTEIN 7;
[PTHR31052:SF3]: COBRA-LIKE PROTEIN 7;
[PF04833]: COBRA-like protein"
"Mpcki1_Veg.Up"	22	"Mp1g17660"	""	""	"[K05765]: CFL; cofilin;
[KOG1735]: Actin depolymerizing factor; [Z];
[PTHR11913:SF74]: ACTIN-DEPOLYMERIZING FACTOR 2-LIKE;
[PTHR11913]: COFILIN-RELATED;
[PF00241]: Cofilin/tropomyosin-type actin-binding protein"
"Mpcki1_Veg.Up"	23	"Mp1g18220"	""	""	"[PTHR33649]: PAR1 PROTEIN;
[PF06521]: PAR1 protein"
"Mpcki1_Veg.Up"	24	"Mp1g18300"	""	""	"[K00860]: cysC; adenylylsulfate kinase [EC:2.7.1.25];
[KOG0635]: Adenosine 5'-phosphosulfate kinase; [P];
[PTHR11055:SF55]: ADENYLYL-SULFATE KINASE 1, CHLOROPLASTIC;
[PTHR11055]: BIFUNCTIONAL 3'-PHOSPHOADENOSINE 5'-PHOSPHOSULFATE SYNTHASE;
[PF01583]: Adenylylsulphate kinase"
"Mpcki1_Veg.Up"	25	"Mp1g18840"	""	""	""
"Mpcki1_Veg.Up"	26	"Mp1g21400"	""	""	"[PTHR31087:SF58]: PROTEIN LURP-ONE-RELATED 13;
[PTHR31087];
[PF04525]: LURP-one-related"
"Mpcki1_Veg.Up"	27	"Mp1g21980"	""	""	"[PTHR21461:SF16]: GLYCOSYLTRANSFERASE FAMILY 92 PROTEIN RCOM_0530710;
[PTHR21461]: UNCHARACTERIZED;
[PF01697]: Glycosyltransferase family 92"
"Mpcki1_Veg.Up"	28	"Mp1g22210"	""	""	"[K13448]: CML; calcium-binding protein CML;
[KOG0027]: Calmodulin and related proteins (EF-Hand superfamily); [T];
[PTHR10891:SF796]: CALCIUM-BINDING PROTEIN CML30-RELATED;
[PTHR10891]: EF-HAND CALCIUM-BINDING DOMAIN CONTAINING PROTEIN;
[PF13499]: EF-hand domain pair"
"Mpcki1_Veg.Up"	29	"Mp1g23160"	""	""	""
"Mpcki1_Veg.Up"	30	"Mp1g23330"	""	""	"[KOG1773]: Stress responsive protein; [R];
[PTHR21659]: HYDROPHOBIC PROTEIN RCI2  LOW TEMPERATURE AND SALT RESPONSIVE PROTEIN LTI6 -RELATED;
[PTHR21659:SF73]: HYDROPHOBIC PROTEIN RCI2B;
[PF01679]: Proteolipid membrane potential modulator"
"Mpcki1_Veg.Up"	31	"Mp1g26030"	""	""	"[PTHR21576:SF97]: MAJOR FACILITATOR SUPERFAMILY PROTEIN;
[PTHR21576]: UNCHARACTERIZED NODULIN-LIKE PROTEIN;
[PF06813]: Nodulin-like"
"Mpcki1_Veg.Up"	32	"Mp1g26350"	"MpExpansin8"	"Mp1g26350 [MpExpansin8]"	"[PTHR31867]: EXPANSIN-A15;
[PF03330]: Lytic transglycolase;
[PF01357]: Expansin C-terminal domain"
"Mpcki1_Veg.Up"	33	"Mp1g26380"	""	""	"[K03231]: EEF1A; elongation factor 1-alpha;
[KOG0052]: Translation elongation factor EF-1 alpha/Tu; [J];
[PTHR23115:SF236]: ELONGATION FACTOR 1-ALPHA 1;
[PTHR23115]: TRANSLATION FACTOR;
[PF03143]: Elongation factor Tu C-terminal domain;
[PF03144]: Elongation factor Tu domain 2;
[PF00009]: Elongation factor Tu GTP binding domain"
"Mpcki1_Veg.Up"	34	"Mp1g27650"	""	""	"[K24193]: STP; MFS transporter, SP family, sugar:H+ symporter;
[KOG0254]: Predicted transporter (major facilitator superfamily); [R];
[PTHR23500]: SOLUTE CARRIER FAMILY 2, FACILITATED GLUCOSE TRANSPORTER;
[PTHR23500:SF574]: SUGAR TRANSPORT PROTEIN 1;
[PF00083]: Sugar (and other) transporter"
"Mpcki1_Veg.Up"	35	"Mp1g28810"	""	""	"[PTHR39244]: NATTERIN-4;
[PF03318]: Clostridium epsilon toxin ETX/Bacillus mosquitocidal toxin MTX2"
"Mpcki1_Veg.Up"	36	"Mp1g28830"	""	""	"[PTHR39244]: NATTERIN-4;
[PF03318]: Clostridium epsilon toxin ETX/Bacillus mosquitocidal toxin MTX2"
"Mpcki1_Veg.Up"	37	"Mp1g28920"	""	""	"[PF07367]: Fungal fruit body lectin"
"Mpcki1_Veg.Up"	38	"Mp2g00020"	""	""	""
"Mpcki1_Veg.Up"	39	"Mp2g00930"	"MpBHLH4"	"Mp2g00930 [MpBHLH4]"	"[PTHR46266]: TRANSCRIPTION FACTOR TT8;
[PF00010]: Helix-loop-helix DNA-binding domain;
[PF14215]: bHLH-MYC and R2R3-MYB transcription factors N-terminal"
"Mpcki1_Veg.Up"	40	"Mp2g01860"	""	""	"[KOG4003]: Pyrazinamidase/nicotinamidase PNC1; [V];
[PTHR43540]: PEROXYUREIDOACRYLATE/UREIDOACRYLATE AMIDOHYDROLASE-RELATED;
[PTHR43540:SF6]: NICOTINAMIDASE 2-RELATED;
[PF00857]: Isochorismatase family"
"Mpcki1_Veg.Up"	41	"Mp2g01920"	"MpCupin15"	"Mp2g01920 [MpCupin15]"	"[PTHR31238]: GERMIN-LIKE PROTEIN SUBFAMILY 3 MEMBER 3;
[PTHR31238:SF42]: GERMIN-LIKE PROTEIN 9-2-RELATED;
[PF00190]: Cupin"
"Mpcki1_Veg.Up"	42	"Mp2g02360"	""	""	"[K24142]: STARD10; StAR-related lipid transfer protein 10;
[PTHR35567:SF1]: MALATE DEHYDROGENASE (AFU_ORTHOLOGUE AFUA_2G13800);
[PTHR35567]: MALATE DEHYDROGENASE (AFU_ORTHOLOGUE AFUA_2G13800);
[PF11937]: Protein of unknown function (DUF3455)"
"Mpcki1_Veg.Up"	43	"Mp2g02440"	"MpCSLD1|MpGT2.2"	"Mp2g02440 [MpCSLD1|MpGT2.2]"	"[K20924]: CSLD; cellulose synthase-like protein [EC:2.4.1.-];
[PTHR13301:SF218]: CELLULOSE SYNTHASE-LIKE PROTEIN;
[PTHR13301]: X-BOX TRANSCRIPTION FACTOR-RELATED;
[PF03552]: Cellulose synthase"
"Mpcki1_Veg.Up"	44	"Mp2g03660"	""	""	"[PTHR31087];
[PTHR31087:SF58]: PROTEIN LURP-ONE-RELATED 13;
[PF04525]: LURP-one-related"
"Mpcki1_Veg.Up"	45	"Mp2g05000"	"MpHA19"	"Mp2g05000 [MpHA19]"	"[K01535]: PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1];
[KOG0205]: Plasma membrane H+-transporting ATPase; [P];
[PTHR42861]: CALCIUM-TRANSPORTING ATPASE;
[PTHR42861:SF83]: PLASMA MEMBRANE ATPASE;
[PF00122]: E1-E2 ATPase;
[PF00702]: haloacid dehalogenase-like hydrolase;
[PF00690]: Cation transporter/ATPase, N-terminus"
"Mpcki1_Veg.Up"	46	"Mp2g05100"	""	""	""
"Mpcki1_Veg.Up"	47	"Mp2g05660"	"MpCSLD2|MpGT2.4"	"Mp2g05660 [MpCSLD2|MpGT2.4]"	"[K20924]: CSLD; cellulose synthase-like protein [EC:2.4.1.-];
[PTHR13301]: X-BOX TRANSCRIPTION FACTOR-RELATED;
[PTHR13301:SF197]: CELLULOSE SYNTHASE-LIKE PROTEIN D3;
[PF03552]: Cellulose synthase;
[PF14570]: RING/Ubox like zinc-binding domain"
"Mpcki1_Veg.Up"	48	"Mp2g05670"	"MpCSLD5|MpGT2.5"	"Mp2g05670 [MpCSLD5|MpGT2.5]"	"[K20924]: CSLD; cellulose synthase-like protein [EC:2.4.1.-];
[PTHR13301]: X-BOX TRANSCRIPTION FACTOR-RELATED;
[PTHR13301:SF197]: CELLULOSE SYNTHASE-LIKE PROTEIN D3;
[PF03552]: Cellulose synthase;
[PF14570]: RING/Ubox like zinc-binding domain"
"Mpcki1_Veg.Up"	49	"Mp2g06110"	""	""	"[PTHR33133]: OS08G0107100 PROTEIN-RELATED;
[PTHR33133:SF5]: OS08G0107100 PROTEIN"
"Mpcki1_Veg.Up"	50	"Mp2g06810"	""	""	"[K12462]: ARHGDI, RHOGDI; Rho GDP-dissociation inhibitor;
[KOG3205]: Rho GDP-dissociation inhibitor; [T];
[PTHR10980]: RHO GDP-DISSOCIATION INHIBITOR;
[PTHR10980:SF35]: OS06G0318300 PROTEIN;
[PF02115]: RHO protein GDP dissociation inhibitor"
"Mpcki1_Veg.Up"	51	"Mp2g07200"	"MpTPS3"	"Mp2g07200 [MpTPS3]"	"[K04120]: E5.5.1.13; ent-copalyl diphosphate synthase [EC:5.5.1.13];
[PTHR31739:SF4]: ENT-COPALYL DIPHOSPHATE SYNTHASE, CHLOROPLASTIC;
[PTHR31739]: ENT-COPALYL DIPHOSPHATE SYNTHASE, CHLOROPLASTIC;
[PF01397]: Terpene synthase, N-terminal domain;
[PF03936]: Terpene synthase family, metal binding domain"
"Mpcki1_Veg.Up"	52	"Mp2g07490"	""	""	""
"Mpcki1_Veg.Up"	53	"Mp2g07500"	""	""	""
"Mpcki1_Veg.Up"	54	"Mp2g07510"	""	""	""
"Mpcki1_Veg.Up"	55	"Mp2g08510"	""	""	"[KOG1030]: Predicted Ca2+-dependent phospholipid-binding protein; C-term missing; [R];
[PTHR32246]: INGRESSION PROTEIN FIC1;
[PTHR32246:SF91]: PROTEIN SRC2 HOMOLOG;
[PF00168]: C2 domain"
"Mpcki1_Veg.Up"	56	"Mp2g09820"	""	""	"[K13051]: ASRGL1, iaaA; L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5];
[KOG1592]: Asparaginase; [E];
[PTHR10188:SF33]: ISOASPARTYL PEPTIDASE/L-ASPARAGINASE;
[PTHR10188]: L-ASPARAGINASE;
[PF01112]: Asparaginase"
"Mpcki1_Veg.Up"	57	"Mp2g10340"	""	""	"[PTHR11413]: CYSTATIN FAMILY MEMBER;
[PTHR11413:SF103]: CYSTEINE PROTEINASE INHIBITOR 6;
[PF16845]: Aspartic acid proteinase inhibitor"
"Mpcki1_Veg.Up"	58	"Mp2g10650"	""	""	"[KOG1603]: Copper chaperone; [P];
[PTHR22814]: COPPER TRANSPORT PROTEIN ATOX1-RELATED;
[PTHR22814:SF272];
[PF00403]: Heavy-metal-associated domain"
"Mpcki1_Veg.Up"	59	"Mp2g11200"	""	""	"[K13621]: BTA1; betaine lipid synthase;
[PTHR47473]: BTA1P;
[PF01209]: ubiE/COQ5 methyltransferase family;
[PF11899]: Protein of unknown function (DUF3419)"
"Mpcki1_Veg.Up"	60	"Mp2g11750"	""	""	"[PTHR33115]: ARM REPEAT SUPERFAMILY PROTEIN;
[PTHR33115:SF50]: ARM REPEAT SUPERFAMILY PROTEIN"
"Mpcki1_Veg.Up"	61	"Mp2g12000"	""	""	"[K02155]: ATPeV0C, ATP6L; V-type H+-transporting ATPase 16kDa proteolipid subunit;
[KOG0232]: Vacuolar H+-ATPase V0 sector, subunits c/c'; [C];
[PTHR10263:SF63]: V-TYPE PROTON ATPASE PROTEOLIPID SUBUNIT;
[PTHR10263]: V-TYPE PROTON ATPASE PROTEOLIPID SUBUNIT;
[PF00137]: ATP synthase subunit C"
"Mpcki1_Veg.Up"	62	"Mp2g12250"	"MpLOX7"	"Mp2g12250 [MpLOX7]"	"[K15718]: LOX1_5; linoleate 9S-lipoxygenase [EC:1.13.11.58];
[PTHR11771]: LIPOXYGENASE;
[PTHR11771:SF170]: LIPOXYGENASE-2;
[PF00305]: Lipoxygenase"
"Mpcki1_Veg.Up"	63	"Mp2g13010"	""	""	"[K02083]: allC; allantoate deiminase [EC:3.5.3.9];
[PTHR32494]: ALLANTOATE DEIMINASE-RELATED;
[PTHR32494:SF5]: ALLANTOATE DEIMINASE-RELATED;
[PF07687]: Peptidase dimerisation domain;
[PF01546]: Peptidase family M20/M25/M40"
"Mpcki1_Veg.Up"	64	"Mp2g14560"	"MpARFD1"	"Mp2g14560 [MpARFD1]"	"[K07937]: ARF1_2; ADP-ribosylation factor 1/2;
[KOG0070]: GTP-binding ADP-ribosylation factor Arf1; [U];
[PTHR11711:SF383]: ADP-RIBOSYLATION FACTOR A1B;
[PTHR11711]: ADP RIBOSYLATION FACTOR-RELATED;
[PF00025]: ADP-ribosylation factor family"
"Mpcki1_Veg.Up"	65	"Mp2g14760"	""	""	"[KOG4569]: Predicted lipase; N-term missing; C-term missing; [I];
[PTHR45856]: ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN;
[PF01764]: Lipase (class 3)"
"Mpcki1_Veg.Up"	66	"Mp2g15100"	""	""	"[KOG0519]: Sensory transduction histidine kinase; N-term missing; [T];
[PTHR45339]: HYBRID SIGNAL TRANSDUCTION HISTIDINE KINASE J;
[PF00072]: Response regulator receiver domain"
"Mpcki1_Veg.Up"	67	"Mp2g15700"	""	""	"[KOG1454]: Predicted hydrolase/acyltransferase (alpha/beta hydrolase superfamily); [R];
[PTHR10992:SF872]: METHYLESTERASE 11, CHLOROPLASTIC-RELATED;
[PTHR10992]: METHYLESTERASE FAMILY MEMBER;
[PF12697]: Alpha/beta hydrolase family"
"Mpcki1_Veg.Up"	68	"Mp2g16940"	""	""	"[KOG2615]: Permease of the major facilitator superfamily; [R];
[PTHR23504]: MAJOR FACILITATOR SUPERFAMILY DOMAIN-CONTAINING PROTEIN 10;
[PTHR23504:SF105]: BNACNNG05450D PROTEIN;
[PF07690]: Major Facilitator Superfamily"
"Mpcki1_Veg.Up"	69	"Mp2g17120"	"MpCYP829A1"	"Mp2g17120 [MpCYP829A1]"	"[K20623]: CYP92A6; typhasterol/6-deoxotyphasterol 2alpha-hydroxylase;
[KOG0156]: Cytochrome P450 CYP2 subfamily; [Q];
[PTHR47944]: CYTOCHROME P450 98A9;
[PF00067]: Cytochrome P450"
"Mpcki1_Veg.Up"	70	"Mp2g18600"	"MpExpansin11"	"Mp2g18600 [MpExpansin11]"	"[PTHR31867]: EXPANSIN-A15;
[PF01357]: Expansin C-terminal domain;
[PF03330]: Lytic transglycolase"
"Mpcki1_Veg.Up"	71	"Mp2g20640"	""	""	"[K08176]: PHO84; MFS transporter, PHS family, inorganic phosphate transporter;
[KOG0252]: Inorganic phosphate transporter; [P];
[PTHR24064]: SOLUTE CARRIER FAMILY 22 MEMBER;
[PTHR24064:SF528]: INORGANIC PHOSPHATE TRANSPORTER 1-4-LIKE;
[PF00083]: Sugar (and other) transporter"
"Mpcki1_Veg.Up"	72	"Mp2g20950"	"MpPOD18"	"Mp2g20950 [MpPOD18]"	"[K00430]: E1.11.1.7; peroxidase [EC:1.11.1.7];
[PTHR31235:SF65]: PEROXIDASE;
[PTHR31235]: PEROXIDASE 25-RELATED;
[PF00141]: Peroxidase"
"Mpcki1_Veg.Up"	73	"Mp2g21040"	""	""	"[KOG1603]: Copper chaperone; [P];
[PTHR22814:SF272];
[PTHR22814]: COPPER TRANSPORT PROTEIN ATOX1-RELATED;
[PF00403]: Heavy-metal-associated domain"
"Mpcki1_Veg.Up"	74	"Mp2g21550"	""	""	"[KOG1114]: Tripeptidyl peptidase II; N-term missing; C-term missing; [O];
[PTHR10795]: PROPROTEIN CONVERTASE SUBTILISIN/KEXIN;
[PTHR10795:SF678]: SUBTILISIN-LIKE PROTEASE SBT5.3;
[PF02225]: PA domain;
[PF00082]: Subtilase family;
[PF05922]: Peptidase inhibitor I9;
[PF17766]: Fibronectin type-III domain"
"Mpcki1_Veg.Up"	75	"Mp2g21850"	""	""	"[PTHR31907]: MLP-LIKE PROTEIN 423;
[PTHR31907:SF1]: MLP-LIKE PROTEIN 423;
[PF00407]: Pathogenesis-related protein Bet v 1 family"
"Mpcki1_Veg.Up"	76	"Mp2g21890"	""	""	"[KOG1219]: Uncharacterized conserved protein, contains laminin, cadherin and EGF domains; N-term missing; [T]"
"Mpcki1_Veg.Up"	77	"Mp2g23310"	""	""	""
"Mpcki1_Veg.Up"	78	"Mp2g23330"	""	""	"[PTHR31549]: PROTEIN, PUTATIVE (DUF247)-RELATED-RELATED;
[PF03140]: Plant protein of unknown function"
"Mpcki1_Veg.Up"	79	"Mp2g25910"	""	""	""
"Mpcki1_Veg.Up"	80	"Mp2g26620"	""	""	"[K22213]: PATG; 6-methylsalicylate decarboxylase [EC:4.1.1.52];
[KOG4245]: Predicted metal-dependent hydrolase of the TIM-barrel fold; [R];
[PTHR21240]: 2-AMINO-3-CARBOXYLMUCONATE-6-SEMIALDEHYDE DECARBOXYLASE;
[PF04909]: Amidohydrolase"
"Mpcki1_Veg.Up"	81	"Mp3g01250"	""	""	"[K00232]: E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6];
[KOG0135]: Pristanoyl-CoA/acyl-CoA oxidase; [IQ];
[PTHR10909:SF379]: ACYL-COENZYME A OXIDASE 3.2, PEROXISOMAL-RELATED;
[PTHR10909]: ELECTRON TRANSPORT OXIDOREDUCTASE;
[PF02770]: Acyl-CoA dehydrogenase, middle domain;
[PF00441]: Acyl-CoA dehydrogenase, C-terminal domain;
[PF01756]: Acyl-CoA oxidase"
"Mpcki1_Veg.Up"	82	"Mp3g03520"	"MpGT34.6"	"Mp3g03520 [MpGT34.6]"	"[K08238]: XXT; xyloglucan 6-xylosyltransferase [EC:2.4.2.39];
[KOG4748]: Subunit of Golgi mannosyltransferase complex; [GM];
[PTHR31311]: XYLOGLUCAN 6-XYLOSYLTRANSFERASE 5-RELATED-RELATED;
[PTHR31311:SF5]: XYLOGLUCAN 6-XYLOSYLTRANSFERASE 2;
[PF05637]: galactosyl transferase GMA12/MNN10 family"
"Mpcki1_Veg.Up"	83	"Mp3g03600"	""	""	"[PTHR45856]: ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN;
[PF01764]: Lipase (class 3);
[PF01926]: 50S ribosome-binding GTPase"
"Mpcki1_Veg.Up"	84	"Mp3g04510"	""	""	"[PTHR27007];
[PTHR27007:SF302]: L-TYPE LECTIN-DOMAIN CONTAINING RECEPTOR KINASE S.4;
[PF00139]: Legume lectin domain"
"Mpcki1_Veg.Up"	85	"Mp3g06070"	""	""	"[KOG1187]: Serine/threonine protein kinase; [T];
[PTHR47989]: OS01G0750732 PROTEIN;
[PF07714]: Protein tyrosine and serine/threonine kinase"
"Mpcki1_Veg.Up"	86	"Mp3g06340"	""	""	""
"Mpcki1_Veg.Up"	87	"Mp3g06610"	"MpLOX3"	"Mp3g06610 [MpLOX3]"	"[K15718]: LOX1_5; linoleate 9S-lipoxygenase [EC:1.13.11.58];
[PTHR11771]: LIPOXYGENASE;
[PTHR11771:SF170]: LIPOXYGENASE-2;
[PF00305]: Lipoxygenase;
[PF01477]: PLAT/LH2 domain"
"Mpcki1_Veg.Up"	88	"Mp3g07160"	""	""	"[K13366]: MPAO, PAO1; polyamine oxidase [EC:1.5.3.14 1.5.3.16 1.5.3.-];
[KOG0029]: Amine oxidase; [Q];
[PTHR10742]: FLAVIN MONOAMINE OXIDASE;
[PTHR10742:SF380];
[PF01593]: Flavin containing amine oxidoreductase"
"Mpcki1_Veg.Up"	89	"Mp3g07420"	"MpDIR1"	"Mp3g07420 [MpDIR1]"	"[PF03018]: Dirigent-like protein"
"Mpcki1_Veg.Up"	90	"Mp3g07430"	"MpDIR2"	"Mp3g07430 [MpDIR2]"	"[PTHR21495]: NUCLEOPORIN-RELATED;
[PF03018]: Dirigent-like protein"
"Mpcki1_Veg.Up"	91	"Mp3g07670"	""	""	"[K06052]: JAG1, CD339; jagged-1"
"Mpcki1_Veg.Up"	92	"Mp3g07700"	"MpHA11"	"Mp3g07700 [MpHA11]"	"[K01535]: PMA1, PMA2; H+-transporting ATPase [EC:7.1.2.1];
[KOG0205]: Plasma membrane H+-transporting ATPase; [P];
[PTHR42861]: CALCIUM-TRANSPORTING ATPASE;
[PTHR42861:SF96]: PLASMA MEMBRANE ATPASE;
[PF00702]: haloacid dehalogenase-like hydrolase;
[PF00122]: E1-E2 ATPase;
[PF00690]: Cation transporter/ATPase, N-terminus"
"Mpcki1_Veg.Up"	93	"Mp3g09760"	"MpExpansin21"	"Mp3g09760 [MpExpansin21]"	"[PTHR31867]: EXPANSIN-A15;
[PF03330]: Lytic transglycolase;
[PF01357]: Expansin C-terminal domain"
"Mpcki1_Veg.Up"	94	"Mp3g09780"	""	""	""
"Mpcki1_Veg.Up"	95	"Mp3g10110"	""	""	"[PTHR31479]: ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN;
[PTHR31479:SF2]: ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN;
[PF01764]: Lipase (class 3)"
"Mpcki1_Veg.Up"	96	"Mp3g10920"	""	""	"[KOG0737]: AAA+-type ATPase; [O];
[PTHR45644:SF37]: P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASES SUPERFAMILY PROTEIN;
[PTHR45644]: AAA ATPASE, PUTATIVE (AFU_ORTHOLOGUE AFUA_2G12920)-RELATED-RELATED;
[PF00004]: ATPase family associated with various cellular activities (AAA);
[PF17862]: AAA+ lid domain"
"Mpcki1_Veg.Up"	97	"Mp3g11160"	""	""	""
"Mpcki1_Veg.Up"	98	"Mp3g11180"	""	""	""
"Mpcki1_Veg.Up"	99	"Mp3g11190"	""	""	""
"Mpcki1_Veg.Up"	100	"Mp3g11200"	""	""	""
